問題番号,問題,答え,ヒント,選択肢１,選択肢２,選択肢３,選択肢４,何問目用,解説,資料リンク,制作者
1,1+1,2,指を数えてみて,1,2,3,a+bj,1〜5問目用,これは例題です。,,床井
2,都道府県名と都道府県庁所在地が一致しない都道府県の数は？,3,県の数は17,23,13,18,21,6〜9問目用,"・北海道 － 札幌市
・岩手県 － 盛岡市
・宮城県 － 仙台市
・茨城県 － 水戸市
・栃木県 － 宇都宮市
・群馬県 － 前橋市
・埼玉県 － さいたま市
・神奈川県 －横浜市
・山梨県 －甲府市
・石川県 －金沢市
・愛知県 －名古屋市
・三重県 －津市
・滋賀県 －大津市
・兵庫県 －神戸市
・島根県 －松江市
・香川県 －高松市
・愛媛県 －松山市
・沖縄県 －那覇市",,小松
3,ろくじのゆうはんにふさわしいものはどれ?,1,答えのものは給食でも人気,カレーライス,小松菜のおひたし,酢豚,オムライス,1〜5問目用,「6字」の夕飯だから,,赤間
4,鯨が怒った時、変化する部位はどれ?,2,〈答〉鯨を立てる、ということわざがある,耳,目,口,ヒレ,6〜9問目用,目くじらを立てる、ということわざの語源となった（ちなみにコナンの博士クイズから出題）,,赤間
5,3+6+9+12+ ... +99 というように、初め3で、3ずつ増えていき、99で終わる数たちの合計は?,2,"1からnまでの整数の合計(1+2+…+(n-1)+n)は, n(n+1)÷2です。",1632,1683,1700,1734,6〜9問目用,"1+2+3+…+32+33は, 33*(33+1)/2 = 561 　よって、これを3倍すると3+6+9+…+96+99 = 1683",,赤間
6,"午前11時55分のとき、時計の長針と短針の間の角度は何度でしょう？　
（ただし「時刻を読むときの短針の位置」を正しく考えること。）",1,11時の向きを基準に考えるのがコツ,55/2[°],85/3[°],32.5[°],25[°],10問目用,"長針は、11時の方をそのまま指している  
短針は、11時の向きから(55/60)*30°時計回りにずれている  
よって、ずれは（60と30で約分して） 55/2°",,赤間
7,"b,nを自然数とする。n(b+11) = 7b+5である、という条件を満たすとき、bの取りうる値の合計は?",3,nは、bを1か所にのみ用いて表すことができる。式を丁寧に紐どけば解ける問題。goodluck!,72,104,107,この中に正しい解は存在しない。,全問正解者用,"n=(7b+5)/(b+11)=(​7b+77-72)/(b+11)=7-72/(b+11)
だから、nが整数となるためには72/(b+11)が整数でなければならないので、(b+11)は72の約数。　　
また、b>=1 より, (b+11)>=12。なので、
12,18,24,36,72が(b+11)のとりうる全ての値である。従って　
(bの総和)=1+7+13+25+61=107 ※AIME2025の一部改題",https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_1,赤間
8,"ソーラーパネルとスピーカーを電気的に正しく繋げた装置があります。
蛍光灯の光をソーラーパネルに当てると、スピーカーはどうなるでしょう?
ただし、蛍光灯は日本の一般の御家庭用コンセントで動いていて、常に気温25℃に保たれた暗室内で実験されているものとします。",1,東日本のコンセントの周波数は、50Hzです。ちなみに、化学のk山先生の話し声はだいたい400Hz,「ブーン」という低い音が鳴る,「キーン」と高い音が鳴る,何も起きない,25℃より冷たくなる,10問目用,"日本のコンセントは、東日本で50Hz, 西日本で60Hzの周波数を持っています。
つまり、0V→+100√2V→0V→-100√2V→0V→…を1回として、電圧を1秒間で50~60回変化させています。
実はヒトの目には見えないけれど、蛍光灯は電圧が+側と-側の時のみ光っていているので、100~120Hzの周波数で光っています。
だから、その光を変換した電気のもとに動くスピーカーは「ブーン」という低い音を鳴らすんです。
ちなみに、温度に関してはむしろ25℃より上がるので不適切です。（興味がわいた人へ:実験のリンク貼っとくので見ると面白いです。）",https://site.ngk.co.jp/lab/no209/,赤間
9,"テーブルを湿った布巾で拭き、プラ下敷きをこすっておきます。
メラニンスポンジをテーブルの上に置き、そのあとプラ下敷きを近づけると、
メラニンスポンジはどのように動くでしょうか?",3,静電気の働きで、スポンジは最初下敷きに近づきます。,下敷きから反発して、机にくっつく,下敷きに近づいて、下敷きにくっつく,下敷きと机に近づいたり反発したり、という動きを繰り返し、最後は机にくっつく,下敷きと机に近づいたり反発したり、という動きを繰り返し、最後は下敷きにくっつく,10問目用,"最初、机は中性で、下敷きはマイナスの静電気を帯びます。
そのため、メラニンスポンジは静電気の働きで下敷きに近づきます。
スポンジと下敷きの静電気の差がなくなると、今度は机の方に落ちて、マイナスの静電気を湿っている机に伝えます。
机の静電気はそのまま地面から地球に流れ、メラニンスポンジも静電気を失うので、再び下敷きに近づく…
ということを十分な回数繰り返したのち、下敷きの静電気がなくなると机に止まった状態になります。",https://site.ngk.co.jp/lab/no231/,赤間
10,次のうち、microsoftの影響を最も受けていない拡張子は?,4,.wavの制定には、microsoftとIBMが関わっていたそうです。,.exe,.xlsx,.wav,.png,1〜5問目用,.exeはWindowsで動く実行可能ファイル、.xlsxはExcelの保存ファイルを表していて、それぞれmicrosoft社の息が掛かっています。また、.wavの制定にも実はmicrosoft社が関わっていたそうです。一方、.pngの制定にはW3Cが関わったとのこと。,,赤間
11,10**(-10)mを1とする、Å(Aの上に小さなリングが付いている)という記号であらわされる長さの記号の読みは?,4,"それぞれの単位の元となった人の、有名な功績は:
二コラ・テスラ: 交流電力システムの基礎を築いた
アンドレ＝マリ・アンペール: 電磁気学の基礎を築いた
エトヴェシュ・ロラーンド: 地球の重力場の研究を行った
アンデルス・オングストローム: 分光学に基礎を築いた",テスラ,アンペア,エトヴェシュ,オングストローム,6〜9問目用,"ほかの3つの単位は、それぞれ　　
テスラ: T [= Wb/m²] 磁束密度　　
アンペア: A [= C/s] 電流　　
エトヴェシュ: E [= s⁻²] 重力勾配　　
ちなみに、Åは分子・原子の大きさや、光の波長などを表すのに便利である。　　
（単位の父オングストローム本人は光に関する研究をしていた）",,赤間
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
